# Scalar Hayes dx=(Ax+Bx(t-1))dt+βx(t-1)dW. Analytic benchmark. T=τ.
# category: Math/benchmark  d=1  T=1.0  maxτ=1.0
q,order,p,rho,cputime,abserr
0,1,8,0.166412816306,0.003479,0.0177866471169
0,1,16,0.156723395401,0.0070244,0.00809722621109
0,1,32,0.152004574134,0.0173876,0.00337840494453
0,1,64,0.149677054511,0.0508447,0.00105088532181
2,2,8,0.152489494647,0.0057928,0.00386332545788
2,2,16,0.150329344319,0.011538,0.00170317512908
2,2,32,0.148987303277,0.0272928,0.000361134087757
2,2,64,0.148222816359,0.0732881,0.000403352830172
4,3,8,0.162416401501,0.0080936,0.0137902323112
4,3,16,0.156180786262,0.016433,0.00755461707287
4,3,32,0.152199755596,0.0372111,0.00357358640665
4,3,64,0.149919178425,0.0924486,0.0012930092352
# rho_ref=0.1486261691895
