# Hayes with both present (α) and delayed (β) multiplicative noise. T=τ.
# category: Math/benchmark  d=1  T=1.0  maxτ=1.0
q,order,p,rho,cputime,abserr
0,1,8,0.146715883217,0.003567,0.0184101321894
0,1,16,0.137075882996,0.0070007,0.00877013196782
0,1,32,0.132378940873,0.0175291,0.00407318984543
0,1,64,0.130061911425,0.0518684,0.0017561603974
2,2,8,0.131961302747,0.0057645,0.00365555171886
2,2,16,0.129955258235,0.0116042,0.00164950720726
2,2,32,0.128894795056,0.0268834,0.00058904402849
2,2,64,0.128341734331,0.0730905,3.59833026012e-05
4,3,8,0.135243353306,0.0078687,0.00693760227842
4,3,16,0.131841760736,0.0163979,0.00353600970817
4,3,32,0.129914162035,0.08713,0.00160841100745
4,3,64,0.128875555942,0.0926442,0.000569804913784
# rho_ref=0.1283057510279
