# Hayes with purely additive noise σdW. Spectral radius governed by drift.
# category: Math/benchmark  d=1  T=1.0  maxτ=1.0
q,order,p,rho,cputime,abserr
0,1,8,0.117698072808,0.0035046,0.0195465989916
0,1,16,0.107731176264,0.0071526,0.00957970244768
0,1,32,0.102892810118,0.0174485,0.00474133630135
0,1,64,0.100510005293,0.0515013,0.00235853147709
2,2,8,0.0982281527226,0.0058143,7.66789062353e-05
2,2,16,0.098160394956,0.011651,8.92113957086e-06
2,2,32,0.098152549617,0.0268174,1.07580061423e-06
2,2,64,0.0981516058922,0.0710571,1.32075854045e-07
4,3,8,0.0981509250636,0.0079947,5.48752799354e-07
4,3,16,0.0981514556794,0.0681275,1.81369705227e-08
4,3,32,0.0981514732371,0.0366272,5.79255490796e-10
4,3,64,0.0981514737984,0.0943313,1.79798814726e-11
# rho_ref=0.09815147381638
