# Linearized delayed logistic (Hutchinson) ẋ=-a x(t-τ)+noise; population dynamics.
# category: Biology  d=1  T=1.0  maxτ=1.0
q,order,p,rho,cputime,abserr
0,1,8,0.856088913484,0.0035497,0.0794269430325
0,1,16,0.816769683703,0.0069661,0.0401077132508
0,1,32,0.796808701951,0.0174512,0.0201467314986
0,1,64,0.786754080989,0.0518104,0.010092110537
2,2,8,0.777133277723,0.0057267,0.000471307271273
2,2,16,0.776787582456,0.0115777,0.00012561200387
2,2,32,0.776704481203,0.0265448,4.25107507673e-05
2,2,64,0.776675381973,0.0704473,1.34115210241e-05
4,3,8,0.776878146342,0.0080661,0.000216175889781
4,3,16,0.776754519398,0.0162926,9.254894606e-05
4,3,32,0.776700283342,0.036374,3.8312889692e-05
4,3,64,0.776674853438,0.0930906,1.28829863124e-05
# rho_ref=0.776661970452
