# Mathieu variant with delay τ=4π > period 2π (T<τ). Tests long-delay window.
# category: Engineering/parametric  d=2  T=6.28319  maxτ=12.5664
q,order,p,rho,cputime,abserr
0,1,8,0.908175282842,0.0063736,0.0829840788796
0,1,16,0.87910862419,0.0175084,0.0539174202276
0,1,32,0.854879634453,0.0984411,0.0296884304906
0,1,64,0.84061972125,3.6474599,0.0154285172873
2,2,8,0.824069291943,0.0095469,0.00112191201997
2,2,16,0.827674530546,0.0263877,0.00248332658355
2,2,32,0.825893997042,0.083442,0.000702793079181
2,2,64,0.825447608883,3.7017688,0.000256404920685
4,3,8,0.826257786538,0.0126404,0.001066582575
4,3,16,0.825478301466,0.0333728,0.000287097503357
4,3,32,0.824793782494,0.1003184,0.000397421468535
4,3,64,0.824974660408,3.7023576,0.000216543554314
# rho_ref=0.8251912039628
