# Delayed oscillator ẍ+0.3ẋ+4x=-0.5x(t-τ)+additive noise. Vibration model.
# category: Engineering/vibration  d=2  T=6.28319  maxτ=6.28319
q,order,p,rho,cputime,abserr
0,1,8,0.690086074937,0.0039641,0.122091686081
0,1,16,0.659334000671,0.0078104,0.0913396118152
0,1,32,0.620476338042,0.0202085,0.0524819491862
0,1,64,0.595795065157,0.093199,0.027800676301
2,2,8,0.560815676632,0.0067922,0.00717871222439
2,2,16,0.570671370447,0.0135153,0.00267698159079
2,2,32,0.568621175318,0.0313315,0.00062678646147
2,2,64,0.568091043018,0.0858634,9.66541619148e-05
4,3,8,0.562635448695,0.0092704,0.00535894016078
4,3,16,0.568326792488,0.0379385,0.000332403631984
4,3,32,0.568015484582,0.0435003,2.10957259859e-05
4,3,64,0.567995195645,0.1223967,8.06788635899e-07
# rho_ref=0.5679943888562
