# Delayed oscillator with multiplicative velocity noise (0.2·ẋ·dW).
# category: Engineering/vibration  d=2  T=6.28319  maxτ=6.28319
q,order,p,rho,cputime,abserr
0,1,8,0.712914306542,0.0039307,0.121895594984
0,1,16,0.682876388146,0.1040822,0.0918576765879
0,1,32,0.644135652354,0.0202069,0.053116940796
0,1,64,0.619342923799,0.0617233,0.028324212241
2,2,8,0.580277649516,0.0065863,0.010741062042
2,2,16,0.59177124319,0.0132339,0.000752531632079
2,2,32,0.59079517688,0.0315075,0.000223534678371
2,2,64,0.59082575895,0.0930308,0.000192952608205
4,3,8,0.581972836848,0.0113805,0.00904587471035
4,3,16,0.589388832635,0.0242929,0.00162987892334
4,3,32,0.590179938092,0.0537242,0.000838773465502
4,3,64,0.590728301396,0.1147098,0.000290410162012
# rho_ref=0.591018711558
