# Regenerative machine-tool chatter (turning). Surface-regeneration delay + noise.
# category: Engineering/manufacturing  d=2  T=6.28319  maxτ=6.28319
q,order,p,rho,cputime,abserr
0,1,8,0.529445156912,0.0039848,0.212244455468
0,1,16,0.630449939176,0.0081324,0.111239673203
0,1,32,0.685080459504,0.0203535,0.056609152876
0,1,64,0.713190122904,0.0629566,0.0284994894761
2,2,8,0.72766323967,0.0072424,0.0140263727096
2,2,16,0.740117601577,0.0132358,0.00157201080307
2,2,32,0.741509106458,0.0314334,0.000180505921914
2,2,64,0.741680028062,0.0867657,9.58431830922e-06
4,3,8,0.741509399964,0.0093768,0.000180212415884
4,3,16,0.741967067965,0.0194879,0.000277455584704
4,3,32,0.741719106931,0.0438197,2.94945511232e-05
4,3,64,0.74167647189,0.1241562,1.31404896684e-05
# rho_ref=0.7416896123799
