# Scalar with TWO delays τ₁=0.5, τ₂=1.0 and noise on both. Multi-delay.
# category: Math/multi-delay  d=1  T=1.0  maxτ=1.0
q,order,p,rho,cputime,abserr
0,1,10,0.0738796563173,0.0050094,0.0143452563491
0,1,20,0.0664758721868,0.0103838,0.00694147221856
0,1,40,0.0629213036144,0.0264505,0.0033869036461
0,1,80,0.0611813727201,0.0799669,0.00164697275184
2,2,10,0.0599727309442,0.0089381,0.000438330975973
2,2,20,0.0597387658544,0.0182388,0.000204365886182
2,2,40,0.059607233479,0.0430086,7.28335106903e-05
2,2,80,0.059538158081,0.1169973,3.75811270924e-06
4,3,10,0.0604825284858,0.0127047,0.000948128517529
4,3,20,0.0600004085811,0.0265451,0.000466008612848
4,3,40,0.059742043061,0.115787,0.000207643092715
4,3,80,0.0596071035091,0.1546963,7.27035407968e-05
# rho_ref=0.05953439996826
