# Scalar with periodic TIME-VARYING delay τ(t)=1+0.3 sin t. Multiplicative noise.
# category: Math/time-varying-delay  d=1  T=6.28319  maxτ=1.3
q,order,p,rho,cputime,abserr
0,1,45,7.18625389122e-07,0.0130512,1.81213274294e-07
0,1,90,5.54078549434e-07,0.0261863,1.66664346065e-08
0,1,180,5.49566050557e-07,0.056026,1.21539357296e-08
0,1,360,5.34460878756e-07,0.1309994,2.95123607198e-09
2,2,45,5.97072737525e-07,0.0240313,5.96606226973e-08
2,2,90,5.55938707011e-07,0.0483546,1.8526592183e-08
2,2,180,5.39871683484e-07,0.1007537,2.4595686565e-09
2,2,360,5.33053640673e-07,0.220847,4.35847415444e-09
4,3,45,7.57583538975e-07,0.0350759,2.20171424148e-07
4,3,90,6.25381039324e-07,0.0710122,8.79689244964e-08
4,3,180,5.72575177986e-07,0.1708367,3.51630631585e-08
4,3,360,5.48945529658e-07,0.3434397,1.15334148304e-08
# rho_ref=5.374121148276e-07
