# Delayed neural feedback (Mackey-Glass-type linearization) with noise.
# category: Biology/neuroscience  d=1  T=1.0  maxτ=0.8
q,order,p,rho,cputime,abserr
0,1,8,0.609701351681,0.0033191,0.00181906933429
0,1,16,0.605285050258,0.006331,0.00259723208842
0,1,32,0.60740509931,0.0145033,0.000477183037239
0,1,64,0.608465929388,0.0395612,0.000583647041555
2,2,8,0.607900747154,0.005494,1.84648075794e-05
2,2,16,0.607722973521,0.0105932,0.000159308825657
2,2,32,0.60780443059,0.0234216,7.78517571057e-05
2,2,64,0.607853596001,0.0582115,2.86863460077e-05
4,3,8,0.608497138131,0.0075892,0.000614855783888
4,3,16,0.608073150981,0.0150964,0.000190868633658
4,3,32,0.607998510163,0.0334498,0.000116227816075
4,3,64,0.60795659933,0.0796471,7.43169830527e-05
# rho_ref=0.6078822823469
