# 2-gene regulatory network with delayed repression + intrinsic noise. T<τ? T=2π>1.5.
# category: Biology/systems  d=2  T=6.28319  maxτ=1.5
q,order,p,rho,cputime,abserr
0,1,21,1.09896250391,0.0070838,0.21380062954
0,1,42,0.989877610035,0.0657444,0.104715735663
0,1,84,0.934646641325,0.0297729,0.0494847669531
0,1,168,0.906959870745,0.0693085,0.0217979963736
2,2,21,0.88506587619,0.0133747,9.59981818106e-05
2,2,42,0.884807221611,0.0263032,0.000354652760658
2,2,84,0.884968443853,0.0552771,0.000193430518913
2,2,168,0.885091247621,0.1244636,7.06267504014e-05
4,3,21,0.884217579328,0.0200847,0.000944295043144
4,3,42,0.884692638697,0.0527961,0.000469235674562
4,3,84,0.884953786904,0.0972296,0.000208087467014
4,3,168,0.885089474395,0.2078125,7.23999761272e-05
# rho_ref=0.8851618743715
