# Car-following model with driver reaction delay τ=1.2. Speed-noise + additive.
# category: Engineering/traffic  d=2  T=6.28319  maxτ=1.2
q,order,p,rho,cputime,abserr
0,1,27,2.19575619494,0.008763,0.499593197853
0,1,54,1.82326686106,0.0176395,0.127103863973
0,1,108,1.64921447242,0.0377255,0.0469485246654
0,1,216,1.73910531033,0.1380534,0.0429423132395
2,2,27,1.68779166312,0.0171793,0.00837133396843
2,2,54,1.69129385091,0.0336183,0.00486914618102
2,2,108,1.69391920375,0.0794266,0.00224379334188
2,2,216,1.69538729284,0.176816,0.000775704251534
4,3,27,1.68609591469,0.0254154,0.0100670824008
4,3,54,1.69115688012,0.0523098,0.00500611696766
4,3,108,1.69393208774,0.1214216,0.00223090934385
4,3,216,1.69538445329,0.2628245,0.000778543794253
# rho_ref=1.696162997088
