# PD feedback control with actuation delay τ=0.5. Sensor + actuation noise.
# category: Engineering/control  d=2  T=6.28319  maxτ=0.5
q,order,p,rho,cputime,abserr
0,1,63,45.4257555662,0.0184752,16.2499146708
0,1,126,36.4925922253,0.0364136,7.31675132987
0,1,252,32.4878708829,0.075041,3.31202998753
0,1,504,30.6006477144,0.2579098,1.42480681897
2,2,63,29.2223135179,0.0386131,0.0464726225453
2,2,126,29.1884375853,0.0722501,0.0125966899333
2,2,252,29.178347302,0.2082931,0.00250640659197
2,2,504,29.1741884713,0.3486536,0.00165242408489
4,3,63,29.262957953,0.0564613,0.0871170576277
4,3,126,29.2169102271,0.1273399,0.0410693317031
4,3,252,29.193644472,0.2576131,0.0178035765786
4,3,504,29.1819694379,0.5351155,0.00612854253078
# rho_ref=29.1758408954
