# Mathieu with strong parametric excitation ε=4. Tests large periodic coeffs.
# category: Engineering/parametric  d=2  T=12.5664  maxτ=6.28319
q,order,p,rho,cputime,abserr
0,1,10,297.442753911,0.0044694,2648.12570929
0,1,20,1211.13431902,0.0078238,1734.43414419
0,1,40,1920.46072211,0.016735,1025.10774109
0,1,80,2397.77851649,0.0428613,547.789946718
2,2,10,1054.75260043,0.0077246,1890.81586277
2,2,20,2601.95758285,0.0145585,343.610880357
2,2,40,2863.92133004,0.0295259,81.6471331645
2,2,80,2929.95422019,0.0685039,15.6142430131
4,3,10,1251.78904134,0.0107779,1693.77942187
4,3,20,2691.24182652,0.0213781,254.326636681
4,3,40,2881.74794743,0.0458472,63.8205157744
4,3,80,2931.48666457,0.1988903,14.0817986394
# rho_ref=2945.568463205
