# Scalar with periodic drift and periodic additive noise intensity. T=2π>τ=π.
# category: Math/periodic  d=1  T=6.28319  maxτ=3.14159
q,order,p,rho,cputime,abserr
0,1,10,0.0171178483602,0.0039594,0.00694981008511
0,1,20,0.0132073663723,0.0080077,0.00303932809724
0,1,40,0.0115877594454,0.0162265,0.00141972117037
0,1,80,0.0108540921889,0.0423685,0.00068605391381
2,2,10,0.0103571653454,0.0064049,0.000189127070401
2,2,20,0.0101877491387,0.0123228,1.97108636889e-05
2,2,40,0.0101697544535,0.0258614,1.71617847671e-06
2,2,80,0.0101681346278,0.0600961,9.63527124736e-08
4,3,10,0.0101569154413,0.0089544,1.1122833737e-05
4,3,20,0.0101626916299,0.017682,5.34664513789e-06
4,3,40,0.010166667977,0.0369845,1.37029805513e-06
4,3,80,0.0101677530754,0.081566,2.85199651924e-07
# rho_ref=0.01016803827505
