# Inverted pendulum stabilized by delayed feedback τ=0.3. Sensorimotor noise.
# category: Engineering/control  d=2  T=6.28319  maxτ=0.3
q,order,p,rho,cputime,abserr
0,1,105,977.771978954,0.0297228,933.255931224
0,1,210,223.181749803,0.0594769,178.665702074
0,1,420,98.0188909919,0.8286123,53.5028432619
0,1,840,63.4263541809,0.2861361,18.910306451
2,2,105,44.7848168654,0.0595679,0.268769135432
2,2,210,44.5566102648,0.1456796,0.0405625348692
2,2,420,44.5225376921,0.3188699,0.00648996212229
2,2,840,44.5170784937,0.5858406,0.00103076368592
4,3,105,44.5626043884,0.111559,0.0465566584451
4,3,210,44.5278299417,0.2075394,0.011782211742
4,3,420,44.5189159369,0.4368575,0.00286820695189
4,3,840,44.516643429,1.6523939,0.000595699003398
# rho_ref=44.51604772997
