# Combined: periodic coefficients + time-varying delay τ(t)=1+0.4 sin t. Hard case.
# category: Math/combined  d=2  T=6.28319  maxτ=1.4
q,order,p,rho,cputime,abserr
0,1,53,0.0605914559248,0.0168987,0.000922986112702
0,1,106,0.061409540911,0.0347275,0.00010490112656
0,1,212,0.0615266742639,0.0757574,1.22322263464e-05
0,1,424,0.0615466881585,0.2505669,3.22461209815e-05
2,2,53,0.0614565925412,0.0322804,5.78494962966e-05
2,2,106,0.0614861426558,0.1148403,2.82993817658e-05
2,2,212,0.0614903853316,0.1875038,2.40567059174e-05
2,2,424,0.0614908530904,0.4554136,2.35889471697e-05
4,3,53,0.0618356528127,0.049184,0.000321210775186
4,3,106,0.0616800972846,0.114344,0.000165655247098
4,3,212,0.0615891140182,0.2306638,7.46719806923e-05
4,3,424,0.0615407462861,0.68933,2.63042486124e-05
# rho_ref=0.06151444203753
