# Kalecki/Kaldor business-cycle model: investment delay + market noise. T=2π>τ=1.8.
# category: Economics  d=2  T=6.28319  maxτ=1.8
q,order,p,rho,cputime,abserr
0,1,18,69.9334917705,0.0718093,2.03571470808
0,1,36,71.478154832,0.0122047,0.491051646587
0,1,72,72.0525185328,0.0262959,0.0833120542191
0,1,144,71.8441060509,0.0879477,0.125100427628
2,2,18,71.8537293916,0.011698,0.115477087004
2,2,36,71.9604820256,0.0238801,0.00872445295049
2,2,72,71.9700032996,0.0489012,0.0007968210477
2,2,144,71.9690440142,0.1686013,0.000162464368415
4,3,18,71.9673039648,0.0175259,0.00190251374663
4,3,36,71.9693243589,0.0414807,0.000117880365494
4,3,72,71.9692590565,0.074073,5.25779078799e-05
4,3,144,71.9692183644,0.1793454,1.18858612552e-05
# rho_ref=71.96920647858
