# stoch delay Mathieu 2nd moment ρ(H); v6 high-order moment-collocation vs SDM
# A=3.0 B=0.5 α=0.1 ε=2.0 ζ=0.1 T=4π τ=2π; present+delayed mult noise; ref=SDM q2 p512=0.15621637466374744
method,order,p,rho,abserr
v6GL2,4,8,0.158557541465,0.00234116680169
v6GL2,4,10,0.175743675792,0.0195273011287
v6GL2,4,12,0.171574262241,0.0153578875769
v6GL2,4,14,0.166414182949,0.0101978082852
v6GL2,4,16,0.162825553084,0.00660917842001
v6GL2,4,20,0.159110471189,0.00289409652477
v6GL3,6,8,0.165493742028,0.00927736736399
v6GL3,6,10,0.158881861491,0.00266548682749
v6GL3,6,12,0.15682716456,0.000610789896146
v6GL3,6,14,0.15613437421,8.20004533287e-05
v6GL3,6,16,0.155910601422,0.00030577324158
v6GL3,6,20,0.155863032753,0.000353341910509
SDM0,0,16,0.162514242234,0.00629786756976
SDM0,0,32,0.17293256135,0.0167161866859
SDM0,0,64,0.168474724426,0.0122583497621
SDM0,0,128,0.163285445595,0.00706907093083
SDM0,0,256,0.159984907579,0.00376853291572
SDM2,2,16,0.161017838052,0.00480146338806
SDM2,2,32,0.158307583009,0.0020912083452
SDM2,2,64,0.156737638633,0.00052126396953
SDM2,2,128,0.156300651193,8.42765295151e-05
SDM2,2,256,0.1562185102,2.13553608477e-06
SDM4,4,16,0.162104621105,0.00588824644164
SDM4,4,32,0.157291573576,0.00107519891188
SDM4,4,64,0.156025582916,0.000190791747669
SDM4,4,128,0.155928022119,0.000288352544899
SDM4,4,256,0.156029475406,0.000186899258047
