# stoch delay Mathieu 2nd moment v6 SELF-convergence (each method vs its own finest p)
method,p,rho,self_err
v6GL1,6,0.721000123797,0.56457012304
v6GL1,9,0.0965371337253,0.0598928670314
v6GL1,12,0.173618216177,0.0171882154203
v6GL1,17,0.186574553358,0.0301445526009
v6GL1,25,0.134224603008,0.0222053977487
v6GL1,36,0.150021839301,0.00640816145602
v6GL1,51,0.163622517134,0.00719251637736
v6GL1,72,0.158255874363,0.00182587360592
v6GL1,103,0.158956248815,0.00252624805799
v6GL1,147,0.157649404404,0.00121940364728
v6GL1,210,0.156615993394,0.000185992637509
v6GL1,300,0.156430000757,0
v6GL2,6,0.330750036129,0.174512720666
v6GL2,8,0.158557541465,0.00232022600242
v6GL2,11,0.174516281993,0.0182789665303
v6GL2,16,0.162825553084,0.00658823762074
v6GL2,21,0.168667547063,0.0124302315998
v6GL2,30,0.156731190129,0.000493874665759
v6GL2,41,0.16666790811,0.0104305926472
v6GL2,56,0.15623488652,2.42894262342e-06
v6GL2,77,0.166463648231,0.0102263327678
v6GL2,106,0.156228146564,9.16889860797e-06
v6GL2,145,0.166317655098,0.0100803396348
v6GL2,200,0.156237315463,0
v6GL3,6,0.185888311961,0.0296568818208
v6GL3,8,0.165493742028,0.00926231188714
v6GL3,11,0.157338186813,0.00110675667217
v6GL3,15,0.156077372465,0.000154057675872
v6GL3,21,0.14643188808,0.00979954206022
v6GL3,29,0.146357866158,0.00987356398217
v6GL3,40,0.156108347509,0.000123082631965
v6GL3,54,0.156167884821,6.35453199581e-05
v6GL3,75,0.156223052293,8.37784806085e-06
v6GL3,102,0.156221729093,9.70104782022e-06
v6GL3,140,0.156231430141,0
v6GL4,6,0.160843661881,0.00462791930085
v6GL4,8,0.15644104336,0.000225300779766
v6GL4,11,0.155704555065,0.000511187515187
v6GL4,15,0.155567610401,0.000648132179099
v6GL4,20,0.155784498151,0.000431244428947
v6GL4,27,0.155910084159,0.00030565842158
v6GL4,36,0.156075622479,0.000140120101502
v6GL4,49,0.156478217078,0.000262474498332
v6GL4,67,0.156183544508,3.21980725558e-05
v6GL4,90,0.15621574258,0
v6GL5,6,0.156281862808,0.000100206884856
v6GL5,8,0.155699598607,0.000482057316219
v6GL5,11,0.155802227908,0.000379428015124
v6GL5,14,0.155547787625,0.000633868298089
v6GL5,19,0.155958259603,0.00022339632018
v6GL5,25,0.162086485246,0.00590482932362
v6GL5,34,0.156055405453,0.000126250470034
v6GL5,45,0.162291859543,0.00611020362015
v6GL5,60,0.156181655923,0
SDM2,8,0.223912571088,0.0676961964244
SDM2,16,0.161017838052,0.00480146338806
SDM2,32,0.158307583009,0.0020912083452
SDM2,64,0.156737638633,0.00052126396953
SDM2,128,0.156300651193,8.42765295152e-05
SDM2,256,0.1562185102,2.13553608458e-06
SDM2,512,0.156216374664,0
SDM4,8,0.214519972149,0.058399160206
SDM4,16,0.162104621105,0.00598380916246
SDM4,32,0.157291573576,0.0011707616327
SDM4,64,0.156025582916,9.52290268503e-05
SDM4,128,0.155928022119,0.00019278982408
SDM4,256,0.156029475406,9.13365372289e-05
SDM4,512,0.156120811943,0
