# stoch delay Mathieu 2nd moment ρ(H); v6 high-order moment-collocation (Krylov) vs SDM
# A=3.0 B=0.5 α=0.1 ε=2.0 ζ=0.1 T=4π τ=2π; present+delayed mult noise; ref=v6 GL4 p120 converged=0.15622747264186265
method,order,p,rho,cputime,abserr
v6GL1,2,6,0.721000123797,0.000999927520752,0.564772651155
v6GL1,2,9,0.0965371337253,0.00899982452393,0.0596903389166
v6GL1,2,12,0.173618216177,0.00799989700317,0.0173907435351
v6GL1,2,17,0.186574553358,0.0160000324249,0.0303470807157
v6GL1,2,25,0.134224603008,0.133000135422,0.0220028696339
v6GL1,2,36,0.150021839301,0.5640001297,0.00620563334124
v6GL1,2,51,0.163622517134,1.02800011635,0.00739504449214
v6GL1,2,72,0.158255874363,2.89600014687,0.0020284017207
v6GL1,2,103,0.158956248815,5.09299993515,0.00272877617278
v6GL1,2,147,0.157649404404,9.28699994087,0.00142193176206
v6GL1,2,210,0.156615993394,23.5859999657,0.000388520752293
v6GL1,2,300,0.156430000757,58.9249999523,0.000202528114779
v6GL2,4,6,0.330750036129,0,0.174522563487
v6GL2,4,8,0.158557541465,0.00600004196167,0.00233006882357
v6GL2,4,11,0.173999389434,0.0160000324249,0.017771916792
v6GL2,4,16,0.162825553084,0.0220000743866,0.00659808044189
v6GL2,4,21,0.158007375688,0.0420000553131,0.00177990304597
v6GL2,4,30,0.156731190129,0.18799996376,0.000503717486911
v6GL2,4,41,0.156212777701,0.852999925613,1.46949412181e-05
v6GL2,4,56,0.15623488652,2.79299998283,7.41387853026e-06
v6GL2,4,77,0.156194936819,4.47399997711,3.2535823204e-05
v6GL2,4,106,0.156228146564,7.94199991226,6.73922543493e-07
v6GL2,4,145,0.15622598483,17.981000185,1.48781234166e-06
v6GL2,4,200,0.156237315463,43.618999958,9.84282115013e-06
v6GL3,6,6,0.185888311961,0.0110001564026,0.0296608393196
v6GL3,6,8,0.165493742028,0.00799989700317,0.00926626938588
v6GL3,6,11,0.157692099048,0.0239999294281,0.00146462640657
v6GL3,6,15,0.156038644422,0.0600001811981,0.00018882821998
v6GL3,6,21,0.156004469536,0.0789999961853,0.000223003105551
v6GL3,6,29,0.155891194948,0.664999961853,0.000336277694136
v6GL3,6,40,0.156108347509,2.05500006676,0.000119125133227
v6GL3,6,54,0.156167884821,3.15699982643,5.95878212193e-05
v6GL3,6,75,0.156204542472,5.83300018311,2.29301695109e-05
v6GL3,6,102,0.156221729093,12.7809998989,5.74354908006e-06
v6GL3,6,140,0.156231430141,29.1850001812,3.95749873794e-06
v6GL4,8,6,0.160843661881,0.0190000534058,0.00461618923912
v6GL4,8,8,0.15644104336,0.0230000019073,0.000213570718031
v6GL4,8,11,0.156562979496,0.0300002098083,0.000335506853719
v6GL4,8,15,0.155616241448,0.494999885559,0.000611231193814
v6GL4,8,20,0.155784498151,0.43499994278,0.000442974490682
v6GL4,8,27,0.155783671122,1.76300001144,0.000443801519826
v6GL4,8,36,0.156075622479,2.54600000381,0.000151850163237
v6GL4,8,49,0.156353198814,3.70799994469,0.00012572617222
v6GL4,8,67,0.156156068435,6.62599992752,7.14042066365e-05
v6GL4,8,90,0.15621574258,13.8809998035,1.17300617335e-05
v6GL5,10,6,0.156281862808,0.0160000324249,5.43901658431e-05
v6GL5,10,8,0.155699598607,0.0309998989105,0.000527874035233
v6GL5,10,11,0.158333942319,0.0789999961853,0.00210646967732
v6GL5,10,14,0.155547787625,0.130000114441,0.000679685017102
v6GL5,10,19,0.157033780637,0.545000076294,0.000806307995388
v6GL5,10,25,0.16556077315,2.16599988937,0.00933330050788
v6GL5,10,34,0.156055405453,2.08800005913,0.000172067189048
v6GL5,10,45,0.157899106185,3.8630001545,0.00167163354348
v6GL5,10,60,0.156181655923,7.117000103,4.58167190101e-05
SDM0,0,8,0.249451115254,0,0.0932236426121
SDM0,0,12,0.158746389296,0,0.00251891665387
SDM0,0,18,0.166079236298,0.00600004196167,0.00985176365656
SDM0,0,27,0.154807029183,0.0090000629425,0.00142044345863
SDM0,0,41,0.155633606974,0.00800013542175,0.000593865667459
SDM0,0,62,0.168742633822,0.0260000228882,0.0125151611801
SDM0,0,94,0.16538439113,0.0460000038147,0.00915691848857
SDM0,0,141,0.15621158722,1.09599995613,1.58854215469e-05
