# Stochastic Mathieu high-q convergence (MF SDM); A=3.0,B=0.5,α=0.1,ε=2.0,P=4π,τ=2π
q,p,rho,cputime,abserr
0,12,0.158746389296,0.0019747,0.00251768500495
0,16,0.162514242234,0.0025673,0.00628553794272
0,24,0.171690774569,0.0039348,0.0154620702781
0,32,0.17293256135,0.0058138,0.0167038570589
0,48,0.170843847857,0.0109091,0.0146151435661
0,64,0.168474724426,0.0174036,0.0122460201351
0,96,0.165228730693,0.0362551,0.00900002640257
0,128,0.163285445595,0.1039188,0.00705674130379
0,192,0.161135450749,3.2155565,0.00490674645774
0,256,0.159984907579,2.8604331,0.00375620328868
2,12,0.163230442485,0.0036536,0.00700173819434
2,16,0.161017838052,0.0043426,0.00478913376102
2,24,0.159451856662,0.0069041,0.00322315237147
2,32,0.158307583009,0.0090327,0.00207887871816
2,48,0.157188848632,0.0207514,0.000960144341265
2,64,0.156737638633,0.029804,0.00050893434249
2,96,0.156408856722,0.0506675,0.000180152430816
2,128,0.156300651193,0.0795019,7.19469024757e-05
2,192,0.156234670217,2.9771955,5.96592589697e-06
2,256,0.1562185102,3.2989065,1.01940909546e-05
4,12,0.165595492896,0.0050698,0.00936678860477
4,16,0.162104621105,0.0063148,0.0058759168146
4,24,0.158744958836,0.011498,0.00251625454521
4,32,0.157291573576,0.0135418,0.00106286928484
4,48,0.15629900594,0.0398332,7.03016493948e-05
4,64,0.156025582916,0.0393282,0.000203121374709
4,96,0.15591726024,0.0719282,0.000311444050767
4,128,0.155928022119,0.1082994,0.000300682171938
4,192,0.155983947156,3.027013,0.000244757135221
4,256,0.156029475406,2.7831195,0.000199228885088
6,12,0.175076463269,0.0071783,0.0188477589779
6,16,0.164734372812,0.009174,0.00850566852091
6,24,0.157717732893,0.0144107,0.00148902860177
6,32,0.155957116811,0.0423546,0.000271587480115
6,48,0.155255173718,0.0397333,0.000973530572682
6,64,0.155231035961,0.0542372,0.000997668329865
6,96,0.155391926654,0.0933997,0.000836777636902
6,128,0.155537300905,0.1393328,0.000691403385341
6,192,0.155725570711,2.8719623,0.000503133579843
6,256,0.155836246121,2.8866938,0.000392458169689
8,12,0.186456563669,0.0103196,0.030227859378
8,16,0.171324652678,0.0148589,0.0150959483876
8,24,0.158583347778,0.0199042,0.00235464348758
8,32,0.155376086654,0.0317623,0.000852617636844
8,48,0.154369901202,0.0508207,0.00185880308885
8,64,0.154478791186,0.0715708,0.00174991310481
8,96,0.154866926437,0.1237175,0.00136177785409
8,128,0.15514216601,0.6117666,0.00108653828056
8,192,0.155463381924,2.7556647,0.000765322366307
8,256,0.155640398954,3.2565515,0.000588305336501
# rho_ref=0.1562287042908
