method,p,err,t
SDM q=2,4,9.309942e-03,9.416
SDM q=4,4,2.508297e-02,3.283
SDM q=4,6,2.005588e-02,0.014
SDM q=4,8,1.662640e-02,0.021
SDM q=4,12,1.234697e-02,0.089
SDM q=4,16,9.812533e-03,0.053
SDM q=4,24,6.960164e-03,0.065
SDM q=4,32,5.396799e-03,0.108
SDM q=4,48,3.728503e-03,0.158
SDM q=4,64,2.850460e-03,0.269
SDM q=4,96,1.939693e-03,0.363
SDM q=4,128,1.470860e-03,0.525
SDM q=4,192,9.921629e-04,1.117
SDM q=4,256,7.488094e-04,1.920
SDM q=4,384,5.025531e-04,4.525
SDM q=4,512,3.782573e-04,8.339
v8 GL1,4,9.960289e-04,1.619
v8 GL1,6,4.020995e-04,0.225
v8 GL1,8,2.116912e-04,0.285
v8 GL1,12,8.717427e-05,0.436
v8 GL1,16,4.703750e-05,0.682
v8 GL1,24,2.000996e-05,1.175
v8 GL1,32,1.100302e-05,1.815
v8 GL1,48,4.777947e-06,4.764
v8 GL1,64,2.656025e-06,9.767
IBP GL1,4,6.356268e-04,0.182
IBP GL1,6,3.267836e-04,0.229
IBP GL1,8,1.980580e-04,0.272
IBP GL1,12,9.446617e-05,0.494
IBP GL1,16,5.493098e-05,0.666
IBP GL1,24,2.519843e-05,1.125
IBP GL1,32,1.439143e-05,1.908
IBP GL1,48,6.491643e-06,4.773
IBP GL1,64,3.678144e-06,9.693
v8 GL2,4,7.096895e-05,0.361
v8 GL2,6,1.430047e-05,0.452
v8 GL2,8,4.545918e-06,0.641
v8 GL2,12,8.998834e-07,0.991
v8 GL2,16,2.847856e-07,1.536
v8 GL2,24,5.622414e-08,2.765
v8 GL2,32,1.777126e-08,4.679
v8 GL2,48,3.493889e-09,12.355
IBP GL2,4,5.173874e-05,0.320
IBP GL2,6,1.022760e-05,0.515
IBP GL2,8,3.225744e-06,0.655
IBP GL2,12,6.345675e-07,1.036
IBP GL2,16,2.003318e-07,1.413
IBP GL2,24,3.945199e-08,2.813
IBP GL2,32,1.243385e-08,4.712
IBP GL2,48,2.418473e-09,12.439
v8 GL3,4,1.049949e-06,0.600
v8 GL3,6,9.012766e-08,0.960
v8 GL3,8,1.605033e-08,1.151
v8 GL3,12,1.424457e-09,1.959
v8 GL3,16,2.483382e-10,2.815
v8 GL3,24,7.556178e-12,5.252
IBP GL3,4,4.383355e-07,0.618
IBP GL3,6,3.327644e-08,0.944
IBP GL3,8,5.703641e-09,1.304
IBP GL3,12,5.062817e-10,1.801
IBP GL3,16,9.103829e-11,2.778
IBP GL3,24,2.202194e-11,5.488
v8 GL4,4,7.849387e-09,1.038
v8 GL4,6,7.349783e-10,1.500
v8 GL4,8,1.763913e-10,2.026
v8 GL4,12,1.696066e-11,3.230
v8 GL4,16,7.426504e-12,4.689
v8 GL4,24,1.605116e-11,9.190
IBP GL4,4,1.000959e-09,0.986
IBP GL4,6,3.794898e-10,1.438
IBP GL4,8,1.332063e-10,1.963
IBP GL4,12,1.944978e-11,3.170
IBP GL4,16,3.295142e-13,4.823
IBP GL4,24,3.059153e-11,9.340
v8 GL5,4,1.848302e-09,1.588
v8 GL5,6,3.467227e-10,2.340
v8 GL5,8,9.693268e-11,3.164
v8 GL5,12,4.420908e-12,5.082
IBP GL5,4,1.780920e-09,1.640
IBP GL5,6,3.521032e-10,2.527
IBP GL5,8,8.814105e-11,3.174
IBP GL5,12,9.050094e-12,5.176
