method,p,err,t
SDM q=2,4,3.499472e-03,11.4682
SDM q=2,5,2.827860e-03,0.0046
SDM q=2,6,2.398269e-03,0.0062
SDM q=2,7,2.093600e-03,0.0129
SDM q=2,8,1.863467e-03,0.0082
SDM q=2,10,1.534904e-03,0.0193
SDM q=2,12,1.309105e-03,0.0096
SDM q=2,14,1.143195e-03,0.0144
SDM q=2,16,1.015652e-03,0.0352
SDM q=2,20,8.317540e-04,0.0119
SDM q=2,24,7.051165e-04,0.0262
SDM q=2,28,6.123837e-04,0.0167
SDM q=2,32,5.414529e-04,0.0387
SDM q=2,40,4.399562e-04,0.0660
SDM q=2,48,3.707295e-04,0.0607
SDM q=2,56,3.204431e-04,0.0744
SDM q=2,64,2.822360e-04,0.0885
SDM q=2,80,2.279859e-04,0.1402
SDM q=2,96,1.912911e-04,0.1640
SDM q=2,112,1.648033e-04,0.2255
SDM q=2,128,1.447774e-04,0.2565
SDM q=2,160,1.164976e-04,0.3675
SDM q=2,192,9.747752e-05,0.5170
SDM q=2,224,8.380536e-05,0.7038
SDM q=2,256,7.350182e-05,0.9193
SDM q=2,320,5.900239e-05,1.5471
SDM q=2,384,4.928557e-05,2.4204
SDM q=2,448,4.231903e-05,3.5479
SDM q=2,512,3.707939e-05,5.3121
SDM q=2,640,2.972184e-05,8.4949
SDM q=2,768,2.480193e-05,12.1200
SDM q=2,896,2.128013e-05,17.6079
SDM q=2,1024,1.863449e-05,23.3579
SDM q=2,1280,1.492421e-05,38.1623
SDM q=2,1536,1.244641e-05,58.4726
SDM q=2,1792,1.067438e-05,79.0527
SDM q=4,4,8.068364e-03,4.1321
SDM q=4,5,7.002998e-03,0.0055
SDM q=4,6,6.201349e-03,0.0091
SDM q=4,7,5.569533e-03,0.0137
SDM q=4,8,5.056837e-03,0.0268
SDM q=4,10,4.273548e-03,0.0193
SDM q=4,12,3.702436e-03,0.0405
SDM q=4,14,3.267213e-03,0.0204
SDM q=4,16,2.924373e-03,0.0309
SDM q=4,20,2.418485e-03,0.0397
SDM q=4,24,2.062884e-03,0.0488
SDM q=4,28,1.799089e-03,0.0553
SDM q=4,32,1.595516e-03,0.0883
SDM q=4,40,1.301701e-03,0.0839
SDM q=4,48,1.099721e-03,0.1239
SDM q=4,56,9.522545e-04,0.1499
SDM q=4,64,8.398123e-04,0.1540
SDM q=4,80,6.795950e-04,0.2078
SDM q=4,96,5.708694e-04,0.2679
SDM q=4,112,4.922176e-04,0.3239
SDM q=4,128,4.326625e-04,0.4061
SDM q=4,160,3.484326e-04,0.5762
SDM q=4,192,2.917007e-04,1.1946
SDM q=4,224,2.508808e-04,1.0901
SDM q=4,256,2.200970e-04,1.3507
SDM q=4,320,1.767472e-04,2.1243
SDM q=4,384,1.476768e-04,3.5357
SDM q=4,448,1.268253e-04,4.7266
SDM q=4,512,1.111375e-04,6.8436
SDM q=4,640,8.910131e-05,10.3070
SDM q=4,768,7.436132e-05,15.5943
SDM q=4,896,6.380776e-05,20.6181
SDM q=4,1024,5.587852e-05,26.5184
