method,p,err,t
SDM q=2,2,1.345300e-02,9.395
SDM q=2,3,1.146114e-02,0.007
SDM q=2,4,9.309942e-03,0.010
SDM q=2,5,7.981049e-03,0.005
SDM q=2,6,7.028963e-03,0.009
SDM q=2,7,6.296748e-03,0.019
SDM q=2,8,5.710158e-03,0.009
SDM q=2,10,4.821903e-03,0.026
SDM q=2,12,4.177597e-03,0.012
SDM q=2,14,3.687456e-03,0.016
SDM q=2,16,3.301550e-03,0.040
SDM q=2,20,2.732061e-03,0.042
SDM q=2,24,2.331532e-03,0.046
SDM q=2,28,2.034221e-03,0.047
SDM q=2,32,1.804651e-03,0.039
SDM q=2,40,1.473082e-03,0.069
SDM q=2,48,1.244976e-03,0.085
SDM q=2,56,1.078338e-03,0.098
SDM q=2,64,9.512210e-04,0.143
SDM q=2,80,7.700040e-04,0.155
SDM q=2,96,6.469652e-04,0.200
SDM q=2,112,5.579265e-04,0.267
SDM q=2,128,4.904875e-04,0.281
SDM q=2,160,3.950785e-04,0.441
SDM q=2,192,3.307973e-04,0.664
SDM q=2,224,2.845354e-04,1.046
SDM q=2,256,2.496419e-04,1.246
SDM q=2,320,2.004959e-04,2.170
SDM q=2,384,1.675328e-04,3.293
SDM q=2,448,1.438861e-04,5.050
SDM q=2,512,1.260936e-04,6.927
SDM q=2,640,1.010985e-04,10.890
SDM q=2,768,8.437755e-05,15.814
SDM q=2,896,7.240484e-05,22.758
SDM q=2,1024,6.340886e-05,29.695
SDM q=2,1280,5.079007e-05,48.608
SDM q=2,1536,4.236121e-05,76.789
SDM q=4,2,2.871372e-02,2.933
SDM q=4,3,2.849208e-02,0.017
SDM q=4,4,2.508297e-02,0.022
SDM q=4,5,2.231644e-02,0.012
SDM q=4,6,2.005588e-02,0.031
SDM q=4,7,1.818810e-02,0.014
SDM q=4,8,1.662640e-02,0.017
SDM q=4,10,1.417509e-02,0.035
SDM q=4,12,1.234697e-02,0.045
SDM q=4,14,1.093485e-02,0.028
SDM q=4,16,9.812533e-03,0.041
SDM q=4,20,8.142609e-03,0.054
SDM q=4,24,6.960164e-03,0.076
SDM q=4,28,6.078961e-03,0.077
SDM q=4,32,5.396799e-03,0.089
SDM q=4,40,4.409255e-03,0.107
SDM q=4,48,3.728503e-03,0.128
SDM q=4,56,3.230591e-03,0.162
SDM q=4,64,2.850460e-03,0.182
SDM q=4,80,2.308144e-03,0.225
SDM q=4,96,1.939693e-03,0.310
SDM q=4,112,1.672949e-03,0.363
SDM q=4,128,1.470860e-03,0.440
SDM q=4,160,1.184882e-03,0.668
SDM q=4,192,9.921629e-04,0.957
SDM q=4,224,8.534471e-04,1.690
SDM q=4,256,7.488094e-04,1.717
SDM q=4,320,6.014186e-04,3.056
SDM q=4,384,5.025531e-04,4.370
SDM q=4,448,4.316265e-04,6.111
SDM q=4,512,3.782573e-04,8.076
SDM q=4,640,3.032812e-04,13.726
SDM q=4,768,2.531232e-04,19.789
SDM q=4,896,2.172078e-04,27.200
SDM q=4,1024,1.902216e-04,35.221
SDM q=4,1280,1.523671e-04,58.129
SDM q=4,1536,1.270815e-04,86.540
v8 GL1,2,3.874182e-03,1.305
v8 GL1,3,1.867237e-03,0.108
v8 GL1,4,9.960289e-04,0.112
v8 GL1,5,6.055453e-04,0.140
v8 GL1,6,4.020995e-04,0.177
v8 GL1,7,2.848242e-04,0.218
v8 GL1,8,2.116912e-04,0.226
v8 GL1,10,1.295679e-04,0.354
v8 GL1,12,8.717427e-05,0.404
v8 GL1,14,6.255887e-05,0.438
v8 GL1,16,4.703750e-05,0.602
v8 GL1,20,2.933101e-05,0.701
v8 GL1,24,2.000996e-05,0.958
v8 GL1,28,1.451271e-05,1.125
v8 GL1,32,1.100302e-05,1.899
v8 GL1,40,6.944915e-06,2.963
v8 GL1,48,4.777947e-06,4.590
v8 GL1,56,3.486764e-06,7.339
v8 GL1,64,2.656025e-06,9.512
