problem,mode,S,p,rho,err
hayes,none,2,4,0.1522611109365878,0.0048414064078084185
hayes,none,2,6,0.15045074056162142,0.0030310360328420216
hayes,none,2,8,0.14960916012087233,0.002189455592092937
hayes,none,2,12,0.14881363774593598,0.0013939332171565844
hayes,none,2,16,0.14843396318820024,0.0010142586594208414
hayes,none,2,24,0.1480667610185875,0.0006470564898081177
hayes,none,2,32,0.14788793014545565,0.0004682256166762544
hayes,none,3,4,0.15198397421615914,0.004564269687379746
hayes,none,3,6,0.1503225556392529,0.0029028511104735033
hayes,none,3,8,0.1495357386065027,0.0021160340777233166
hayes,none,3,12,0.14878045536088536,0.0013607508321059614
hayes,none,3,16,0.14841515166613867,0.0009954471373592733
hayes,none,3,24,0.14805833801595936,0.0006386334871799626
hayes,none,3,32,0.1478831752928217,0.00046347076404229526
hayes,causal,2,4,0.14745447551936244,3.4770990583049555e-5
hayes,causal,2,6,0.14740992330730257,9.781221476823365e-6
hayes,causal,2,8,0.14739329390099,2.6410627789380525e-5
hayes,causal,2,12,0.14738103410876463,3.867042001476362e-5
hayes,causal,2,16,0.1473766569218003,4.3047606979096376e-5
hayes,causal,2,24,0.14737349779284936,4.620673593003222e-5
hayes,causal,2,32,0.14737238447252005,4.7320056259347876e-5
hayes,causal,3,4,0.14741711740764302,2.5871211363770463e-6
hayes,causal,3,6,0.1473915442922765,2.8160236502899894e-5
hayes,causal,3,8,0.14738255687619511,3.7147652584279545e-5
hayes,causal,3,12,0.14737611737715,4.358715162938731e-5
hayes,causal,3,16,0.14737385780779821,4.58467209811797e-5
hayes,causal,3,24,0.14737224111850966,4.746341026973244e-5
hayes,causal,3,32,0.1473716745292401,4.802999953928966e-5
mathieu_crit,none,2,8,0.1585575414654365,0.002330598549942803
mathieu_crit,none,2,12,0.17157426224069366,0.015347319325199976
mathieu_crit,none,2,16,0.16282555308375873,0.0065986101682650455
mathieu_crit,none,2,24,0.1575932092980049,0.001366266382511222
mathieu_crit,none,2,32,0.1565973039659162,0.000370361050422513
mathieu_crit,none,2,48,0.15626200296859222,3.5060053098529e-5
mathieu_crit,none,3,8,0.16549374202774275,0.009266799112249063
mathieu_crit,none,3,12,0.1568271645598932,0.0006002216443995179
mathieu_crit,none,3,16,0.15591060142216706,0.0003163414933266273
mathieu_crit,none,3,24,0.15592530730069015,0.00030163561480353596
mathieu_crit,none,3,32,0.15604030888313314,0.00018663403236054976
mathieu_crit,none,3,48,0.15614828822734206,7.865468815163035e-5
mathieu_crit,causal,2,8,0.15657552815848472,0.00034858524299102855
mathieu_crit,causal,2,12,0.1717973333123758,0.0155703903968821
mathieu_crit,causal,2,16,0.16325478012988304,0.007027837214389349
mathieu_crit,causal,2,24,0.15791036403485564,0.0016834211193619553
mathieu_crit,causal,2,32,0.15679933305152344,0.000572390136029749
mathieu_crit,causal,2,48,0.1563561051037115,0.00012916218821781844
mathieu_crit,causal,3,8,0.16573015266769492,0.00950320975220123
mathieu_crit,causal,3,12,0.15743251485986048,0.0012055719443667956
mathieu_crit,causal,3,16,0.15647929721089038,0.0002523542953966895
mathieu_crit,causal,3,24,0.15626458638734975,3.76434718560581e-5
mathieu_crit,causal,3,32,0.1562461796168742,1.923670138051503e-5
mathieu_crit,causal,3,48,0.15624242814784245,1.548523234876087e-5
